Country,HDI-UN
Australia,0.95
Sweden,0.95
Germany,0.94
Netherlands,0.94
Belgium,0.94
Canada,0.94
United Kingdom,0.93
Japan,0.93
South Korea,0.93
United States,0.92
Spain,0.91
France,0.9
Italy,0.9
Greece,0.89
Poland,0.88
Saudi Arabia,0.88
Portugal,0.87
Chile,0.85
Argentina,0.84
Turkey,0.84
Russia,0.83
Romania,0.82
Kazakhstan,0.81
Malaysia,0.8
Thailand,0.8
Sri Lanka,0.78
Iran,0.77
Ukraine,0.77
China,0.77
Dominican Republic,0.77
Cuba,0.76
Peru,0.76
Mexico,0.76
Brazil,0.75
Colombia,0.75
Algeria,0.74
Azerbaijan,0.74
Ecuador,0.74
Egypt,0.73
Tunisia,0.73
Uzbekistan,0.73
Jordan,0.72
South Africa,0.71
Indonesia,0.7
Vietnam,0.7
Philippines,0.7
Bolivia,0.69
Venezuela,0.69
Iraq,0.69
Morocco,0.68
Bangladesh,0.66
India,0.63
Ghana,0.63
Guatemala,0.63
Honduras,0.62
Nepal,0.6
Cambodia,0.59
Zimbabwe,0.59
Angola,0.59
Myanmar,0.58
Syria,0.58
Cameroon,0.58
Kenya,0.57
Zambia,0.56
Papua New Guinea,0.56
Ivory Coast,0.55
Tanzania,0.55
Pakistan,0.54
Nigeria,0.54
Haiti,0.54
Rwanda,0.53
Uganda,0.53
Benin,0.53
Malawi,0.51
Senegal,0.51
Sudan,0.51
Madagascar,0.5
Ethiopia,0.5
Afghanistan,0.48
Guinea,0.47
Yemen,0.46
Burkina Faso,0.45
Mozambique,0.45
Mali,0.43
Burundi,0.43
Niger,0.4
Taiwan,
Chad,0.39
South Sudan,0.39
Czech Republic,
Switzerland,0.96
Norway,0.96
Iceland,0.96
Hong Kong,0.95
Denmark,0.95
Ireland,0.94
Finland,0.94
Singapore,0.94
New Zealand,0.94
Liechtenstein,0.94
Luxembourg,0.93
Israel,0.92
Slovenia,0.92
Malta,0.92
Austria,0.92
United Arab Emirates,0.91
Cyprus,0.9
Estonia,0.89
Lithuania,0.88
Bahrain,0.88
Latvia,0.86
Croatia,0.86
Andorra,0.86
Qatar,0.85
Slovakia,0.85
Hungary,0.85
Montenegro,0.83
Kuwait,0.83
Oman,0.82
Bahamas,0.81
Costa Rica,0.81
Uruguay,0.81
Belarus,0.81
Panama,0.81
Serbia,0.8
Georgia,0.8
Mauritius,0.8
Albania,0.8
Bulgaria,0.8
Grenada,0.8
Barbados,0.79
Seychelles,0.79
North Macedonia,0.77
Moldova,0.77
Palau,0.77
Armenia,0.76
Maldives,0.75
Turkmenistan,0.74
Tonga,0.74
Mongolia,0.74
Fiji,0.73
Suriname,0.73
Dominica,0.72
Libya,0.72
Paraguay,0.72
Palestine,0.71
Saint Lucia,0.71
Guyana,0.71
Jamaica,0.71
Samoa,0.71
Lebanon,0.71
Gabon,0.71
Botswana,0.69
Kyrgyzstan,0.69
Tajikistan,0.69
Belize,0.68
El Salvador,0.68
Nicaragua,0.67
Bhutan,0.67
Marshall Islands,0.64
Micronesia,0.63
Kiribati,0.62
Namibia,0.61
Laos,0.61
Vanuatu,0.61
Eswatini,0.6
Equatorial Guinea,0.6
Solomon Islands,0.56
Comoros,0.56
Mauritania,0.56
Togo,0.54
Lesotho,0.51
Djibouti,0.51
Gambia,0.5
Eritrea,0.49
Liberia,0.48
Sierra Leone,0.48
Central African Republic,0.4
